CustomerID,Recency,Frequency,Monetary,AvgTicket
12377.0,306,2,1543.08,771.54
12383.0,175,5,1564.72,312.944
12386.0,328,2,401.9,200.95
12399.0,110,4,1033.65,258.4125
12409.0,69,3,8956.49,2985.4966666666664
12410.0,299,2,533.33,266.665
12414.0,208,3,434.85,144.95000000000002
12423.0,91,7,1406.77,200.96714285714285
12424.0,153,2,1302.32,651.16
12435.0,70,2,2076.7,1038.35
12468.0,178,2,657.54,328.77
12502.0,86,5,2875.22,575.044
12520.0,70,5,2329.31,465.86199999999997
12557.0,149,3,1691.34,563.78
12559.0,301,2,525.71,262.855
12582.0,229,2,351.36,175.68
12585.0,225,2,1653.96,826.98
12601.0,180,5,447.11,89.422
12609.0,69,3,960.29,320.09666666666664
12625.0,202,2,2413.82,1206.91
12635.0,80,2,1494.86,747.43
12653.0,139,2,1859.45,929.725
12669.0,141,2,1403.22,701.61
12693.0,117,4,711.91,177.9775
12710.0,87,3,1023.02,341.00666666666666
12722.0,76,4,907.27,226.8175
12735.0,306,2,673.62,336.81
12758.0,107,2,2791.59,1395.795
12782.0,140,4,1714.67,428.6675
12793.0,325,2,461.48,230.74
12811.0,252,2,459.85,229.925
12815.0,138,2,863.46,431.73
12830.0,82,4,1509.1200000000001,377.28000000000003
12840.0,134,4,2726.77,681.6925
12853.0,125,6,1957.1000000000001,326.18333333333334
12854.0,69,3,1324.5,441.5
12857.0,201,2,1106.4,553.2
12868.0,176,6,1607.0600000000002,267.84333333333336
12872.0,317,2,599.97,299.985
12878.0,227,2,854.99,427.495
12888.0,205,2,354.12,177.06
12916.0,129,4,3006.15,751.5375
12924.0,79,4,781.0600000000001,195.26500000000001
12947.0,134,6,1422.45,237.07500000000002
12951.0,164,5,751.78,150.356
12967.0,348,2,1097.5,548.75
12980.0,167,6,1212.48,202.08
12999.0,187,3,455.88,151.96
13037.0,129,3,881.07,293.69
13038.0,71,3,908.46,302.82
13055.0,69,3,1209.85,403.2833333333333
13077.0,281,3,544.92,181.64
13082.0,117,9,1666.96,185.21777777777777
13093.0,266,8,6872.2699999999995,859.0337499999999
