CustomerID,Recency,Frequency,Monetary,AvgTicket,R_Score,F_Score,M_Score,RFV_Score,RFV_Total,Segment
12347.0,30,6,3835.58,639.2633333333333,4,5,5,455,14,👑 Champions
12348.0,66,4,1186.68,296.67,3,4,4,344,11,🌟 Loyal Customers
12349.0,9,1,1353.8,1353.8,5,1,4,514,10,💎 Potential Loyalists
12350.0,301,1,294.4,294.4,1,1,2,112,4,🪦 Hibernating
12352.0,27,7,1385.74,197.96285714285713,4,5,4,454,13,👑 Champions
12353.0,194,1,89.0,89.0,1,1,1,111,3,🪦 Hibernating
12354.0,223,1,1028.55,1028.55,1,1,4,114,6,❓ Other
12355.0,205,1,459.4,459.4,1,1,3,113,5,🪦 Hibernating
12356.0,13,3,2487.43,829.1433333333333,4,3,5,435,12,🌟 Loyal Customers
12357.0,24,1,5945.07,5945.07,4,1,5,415,10,💎 Potential Loyalists
12358.0,141,1,404.86,404.86,2,1,2,212,5,😴 About to Sleep
12359.0,48,4,4817.33,1204.3325,3,4,5,345,12,🌟 Loyal Customers
12360.0,43,3,2200.36,733.4533333333334,3,3,5,335,11,🌟 Loyal Customers
12361.0,278,1,174.9,174.9,1,1,1,111,3,🪦 Hibernating
12362.0,26,9,4033.42,448.15777777777777,4,5,5,455,14,👑 Champions
12363.0,100,2,552.0,276.0,2,2,3,223,7,😴 About to Sleep
12364.0,31,2,847.98,423.99,4,2,4,424,10,💎 Potential Loyalists
12365.0,282,1,320.69,320.69,1,1,2,112,4,🪦 Hibernating
12370.0,42,4,3304.73,826.1825,3,4,5,345,12,🌟 Loyal Customers
12371.0,50,1,1527.96,1527.96,3,1,4,314,8,💎 Potential Loyalists
12372.0,62,3,1196.04,398.68,3,3,4,334,10,🌟 Loyal Customers
12373.0,302,1,324.6,324.6,1,1,2,112,4,🪦 Hibernating
12374.0,16,1,589.03,589.03,4,1,3,413,8,💎 Potential Loyalists
12375.0,1,2,377.5,188.75,5,2,2,522,9,💎 Potential Loyalists
12377.0,306,2,1543.08,771.54,1,2,4,124,7,⚠️ At Risk
12378.0,120,1,3899.29,3899.29,2,1,5,215,8,❓ Other
12379.0,72,2,777.24,388.62,2,2,3,223,7,😴 About to Sleep
12380.0,12,4,2278.11,569.5275,5,4,5,545,14,👑 Champions
12381.0,24,4,1378.3,344.575,4,4,4,444,12,👑 Champions
12383.0,175,5,1564.72,312.944,2,4,4,244,10,⚠️ At Risk
12384.0,19,2,425.27000000000004,212.63500000000002,4,2,2,422,8,💎 Potential Loyalists
12386.0,328,2,401.9,200.95,1,2,2,122,5,⚠️ At Risk
12388.0,6,6,2762.42,460.40333333333336,5,5,5,555,15,👑 Champions
12390.0,70,1,470.94,470.94,2,1,3,213,6,😴 About to Sleep
12391.0,12,1,437.22,437.22,5,1,3,513,9,💎 Potential Loyalists
12393.0,63,4,1582.6000000000001,395.65000000000003,3,4,4,344,11,🌟 Loyal Customers
12394.0,54,2,629.92,314.96,3,2,3,323,8,💎 Potential Loyalists
12395.0,10,12,2633.56,219.46333333333334,5,5,5,555,15,👑 Champions
12397.0,26,2,2096.25,1048.125,4,2,5,425,11,💎 Potential Loyalists
12398.0,36,1,1435.66,1435.66,3,1,4,314,8,💎 Potential Loyalists
12399.0,110,4,1033.65,258.4125,2,4,4,244,10,⚠️ At Risk
12401.0,294,1,69.3,69.3,1,1,1,111,3,🪦 Hibernating
12402.0,314,1,195.6,195.6,1,1,1,111,3,🪦 Hibernating
12403.0,40,1,391.7,391.7,3,1,2,312,6,💎 Potential Loyalists
12405.0,139,1,1390.39,1390.39,2,1,4,214,7,❓ Other
12406.0,12,2,3415.3,1707.65,5,2,5,525,12,💎 Potential Loyalists
12407.0,40,5,1417.2,283.44,3,4,4,344,11,🌟 Loyal Customers
12408.0,23,5,2511.09,502.218,4,4,5,445,13,👑 Champions
12409.0,69,3,8956.49,2985.4966666666664,2,3,5,235,10,⚠️ At Risk
12410.0,299,2,533.33,266.665,1,2,3,123,6,⚠️ At Risk
12412.0,65,3,1142.88,380.96000000000004,3,3,4,334,10,🌟 Loyal Customers
12413.0,57,3,656.15,218.71666666666667,3,3,3,333,9,🌟 Loyal Customers
12414.0,208,3,434.85,144.95000000000002,1,3,3,133,7,⚠️ At Risk
12415.0,15,14,35095.63,2506.8307142857143,4,5,5,455,14,👑 Champions
12417.0,30,8,2762.16,345.27,4,5,5,455,14,👑 Champions
12418.0,103,1,668.58,668.58,2,1,3,213,6,😴 About to Sleep
12420.0,54,1,554.97,554.97,3,1,3,313,7,💎 Potential Loyalists
12421.0,6,4,639.04,159.76,5,4,3,543,12,🌟 Loyal Customers
12422.0,86,3,683.5600000000001,227.85333333333335,2,3,3,233,8,😴 About to Sleep
