CustomerID,Recency,Frequency,Monetary,AvgTicket
12347.0,30,6,3835.58,639.2633333333333
12352.0,27,7,1385.74,197.96285714285713
12362.0,26,9,4033.42,448.15777777777777
12380.0,12,4,2278.11,569.5275
12381.0,24,4,1378.3,344.575
12388.0,6,6,2762.42,460.40333333333336
12395.0,10,12,2633.56,219.46333333333334
12408.0,23,5,2511.09,502.218
12415.0,15,14,35095.63,2506.8307142857143
12417.0,30,8,2762.16,345.27
12428.0,16,8,6361.04,795.13
12429.0,0,4,3388.4,847.1
12433.0,0,5,10420.94,2084.188
12437.0,0,17,4330.47,254.73352941176472
12444.0,12,5,3647.61,729.522
12449.0,13,4,3591.97,897.9925
12451.0,1,5,8464.13,1692.8259999999998
12464.0,1,8,855.3499999999999,106.91874999999999
12471.0,1,26,11451.19,440.43038461538464
12472.0,23,7,5997.43,856.7757142857143
12474.0,8,18,6606.84,367.0466666666667
12476.0,6,11,5814.67,528.6063636363637
12477.0,13,6,11134.09,1855.6816666666666
12480.0,19,4,2566.33,641.5825
12481.0,13,10,4934.28,493.428
12483.0,8,8,1901.8600000000001,237.73250000000002
12484.0,26,4,3949.16,987.29
12490.0,8,9,4442.51,493.6122222222223
12494.0,6,7,1084.1000000000001,154.8714285714286
12517.0,19,4,2322.84,580.71
12518.0,19,4,1537.75,384.4375
12523.0,10,11,1657.82,150.7109090909091
12524.0,0,8,3577.2799999999997,447.15999999999997
12528.0,0,6,1628.53,271.4216666666667
12539.0,13,4,5449.7,1362.425
12540.0,10,17,11401.25,670.6617647058823
12553.0,16,9,3019.26,335.47333333333336
12562.0,13,6,2649.77,441.62833333333333
12567.0,13,10,8191.69,819.169
12569.0,7,26,2673.67,102.83346153846153
12576.0,26,5,1268.93,253.786
12583.0,9,14,5849.76,417.84000000000003
12584.0,8,8,1867.25,233.40625
12594.0,28,9,3208.2200000000003,356.4688888888889
12597.0,10,4,3112.84,778.21
12598.0,0,7,2772.88,396.1257142857143
12599.0,20,7,888.58,126.94000000000001
12600.0,19,10,2073.44,207.344
12610.0,13,4,1679.74,419.935
12619.0,7,8,1962.36,245.295
12621.0,14,18,9179.03,509.9461111111111
12626.0,14,9,5954.48,661.6088888888888
12627.0,1,6,4046.02,674.3366666666667
12645.0,24,4,1631.18,407.795
12647.0,13,12,3064.02,255.335
12656.0,8,5,3279.42,655.884
12657.0,2,4,1217.18,304.295
12662.0,14,10,3294.28,329.428
12664.0,26,6,1717.8000000000002,286.3
12668.0,2,4,3163.47,790.8675
12670.0,1,5,2744.05,548.8100000000001
12674.0,29,4,1831.46,457.865
12676.0,15,6,1091.39,181.89833333333334
